A,B,C,D
73.14068448492083,77.54282915820693,73.34359103393676,84.08490525860155
70.26507162938496,73.55434132046305,79.82335476817303,78.13193716064742
70.06486250444846,74.20680559254416,74.18420525302389,73.87403787614598
72.68595689187894,81.08258430140299,68.90472603996153,68.45163057028986
79.20945332213311,79.30961096830426,77.46439041357331,81.49105089663469
70.7578337590903,74.29433169936921,74.43808811372789,73.522956002504
78.54480694726385,71.45633157549146,77.9682287353076,75.18684087423736
74.19947090365399,67.6008152018887,77.65191021564449,71.89752806251889
77.38710392857584,75.29285113579319,71.0732754277021,69.02422379832053
71.15691367862205,70.27284267758941,72.45937909162701,87.64828360617172
72.75408881242899,75.89799754104723,74.71815447417417,75.65429491259633
79.0652522784018,71.57975339985748,79.35047741831255,79.89497465077551
80.83802900889106,82.09309566953011,72.0191843661723,72.64894927956995
71.66018177820446,72.45176724458226,78.9637498957688,76.05891863352404
77.3711327761074,79.76474471051358,72.412051501401,73.61874711908773
76.56079779986939,74.619750460043,74.24000692536428,77.04945113326986
78.35166868447521,72.24280369226193,82.75669543826054,75.16145994033256
73.72174051735556,74.60478380594385,71.34097124324775,77.69717804509146
74.27795132054321,79.08278138492977,80.85458138653343,75.64054510295125
71.43358629309812,75.52688960106634,73.02669870320469,69.18466538583607
79.06363816435449,68.26818497893285,74.21429481819237,77.13851757964059
75.79718914915864,75.53991693211564,80.83576043249079,74.45101113475677
75.79422826665696,71.4247910706901,78.04913171609489,72.37740358206116
75.22019892730478,76.92410558143496,72.30913434979071,71.82246168110923
80.0409681760083,78.23223285889496,71.25293287885542,70.70307276449589
76.36637550684574,76.69415317694313,72.73469840021826,81.09199198521654
76.29370732245194,80.96650404065895,71.87244835560864,74.30425497131323
77.73411436845444,73.31086971771786,66.97085925097268,71.05720342054086
74.23264480504442,74.02327979319699,73.38011939181379,72.40909832107815
74.7153051752082,76.67000964861226,70.68194422872705,66.05984519393374
73.75429061150965,79.22497311215916,75.02206200034055,72.51021686954782
75.38807267185935,67.8175240004529,76.89922642490157,75.85038287187054
76.29534137922666,80.78207765332988,80.84620125298714,77.0327000214011
74.00560190443443,77.84327174561452,79.68237075587639,70.41778940101148
78.27029563446193,74.17491723658651,74.4610598396747,67.81717404048199
73.93363600345918,79.9827696072554,75.19860438034375,65.52737188413933
72.14985914528373,74.95244871960251,75.8406823796414,74.75920965229044
77.93719585823001,77.41525839461532,70.20160421652211,84.22878786220525
75.4203870513794,71.63625090600107,77.88450529725453,72.77305634580173
80.78191626565888,77.12211028192463,74.2106509069348,65.02626237583696
76.92509600538487,73.83703710772133,76.94114974812321,76.31774546906995
70.01538184632415,72.76716667151054,76.65515753548956,81.22866526328484
74.18284790890222,71.94375147526138,82.34153209791037,83.20580237926168
81.39139734983512,73.30174164507098,80.9005703797195,64.19995229250954
76.1217117979257,73.37774780580315,64.94286356332069,75.7208306253156
70.8856061179317,77.46635575666424,76.29147673921499,82.76431867601421
75.6012932182156,82.09971454883704,72.14832092608737,72.21663917676004
77.41623479166199,72.23621202791435,67.43682624680767,73.18607577147615
76.95984046753095,72.96568091824794,72.59228607199546,76.97140467168506
76.76367229797658,82.62051088403899,79.33234632323637,73.99165718555005
72.91025048141474,71.5155032595167,66.87521438775651,78.98296993343531
74.26965070140145,79.41857982653252,76.63499138918758,77.62572341921539
74.14575200396933,72.29929372126786,78.73793161821588,78.89608229168358
81.45479969105818,71.83464533116812,78.152534152289,79.15942245780757
77.18425831194207,72.00030073277887,78.15362055666426,82.4884490617011
76.81538374904719,78.47334846297996,75.82366692309162,69.35757517293416
71.72441779589093,78.01258441226713,80.31171284326078,76.89348322781007
77.40020080393089,79.42186902647946,77.3533169740099,74.385253931563
72.95609472714037,74.59651682793658,71.31906020078952,78.77490289171578
78.13562367624172,79.72883822793213,69.17715354855144,79.55409740543433
75.9882280018931,69.13953977775998,71.92457041016823,70.40772585350888
76.67405592514787,72.9400568512744,79.6592201390661,70.62331948274915
78.29375900058646,72.92837633253778,73.63056261059353,69.49040383237543
74.92620674911845,72.18789104690262,76.4495478012854,72.1864681043903
71.55612787219845,76.0059832406252,73.76163971239104,79.3523906097506
71.29490744880054,75.81581882318096,73.57477111981582,74.325956611337
74.12487356699044,77.75861012147544,77.07932254972,81.56444045356801
77.14670174468371,75.33045153805023,72.5765837048083,82.63298847512377
69.77062806989314,72.59278362973848,71.59048706270507,71.36643894072078
78.70071296070932,77.8428642344003,76.891704004183,76.00710523902112
73.63962955331746,73.27944158049543,73.04572032887046,73.18878763402853
77.90429427656825,76.46741887793775,77.92954844045049,67.94175726970057
80.57786081875855,74.27475829913361,77.05742253787163,80.19757213595621
73.67336006629144,78.47169826667317,73.9435592538154,81.24906801400807
77.82005002958634,73.6090487912576,78.26821958080755,82.6088287614801
77.02349614344939,78.177697047143,77.66161392888874,74.11415500450578
82.79970678073789,70.37109357519904,74.6076166276266,67.91321906621856
75.56513518807355,76.32337856812846,78.52232089185895,70.86890235671866
73.05680983916021,78.00900734171142,74.9519675009595,70.22466827415681
77.29247827093336,76.64956760521774,77.70478082846144,75.17294606341252
73.09900835105422,78.17247959390971,72.26395797937974,73.11535634488732
77.70015348778642,76.32152700275229,71.92809026456634,73.72651120845627
71.82813888199223,76.03282985831628,74.44251157967771,74.39923157271716
79.34928583601129,74.31855247423177,79.97031616155571,68.34550056346876
83.6276289484591,71.654028830536,72.09316297156712,67.9534662812449
69.19482474118247,75.9173450724393,73.22503802602948,73.99299515318451
76.36122396743676,74.69570409874822,69.69692091810958,70.79510697668145
72.67002151469795,77.74149563490018,72.18038694311768,76.52618120898066
73.10053180548029,75.78596838979541,78.97896330650926,68.4125656492586
73.93880637998447,72.27597388911583,74.12348315496911,55.216467522588985
71.2785185144179,72.91172426885763,78.03458310562127,73.02150896984604
79.52328063401161,76.22321439498776,77.73066612802792,66.742826680872
70.8773440924766,79.42208355420252,75.89137880595578,83.63790067250235
73.33813910139224,72.06985833203247,77.95222123448849,71.23881300211656
70.64723329933435,79.78176119987454,71.57069973362609,81.89813571251639
76.53859245465304,73.24624202891242,79.47434174167469,74.74263897833565
75.33600425228472,80.77371379311056,66.0633048262406,79.99821399555213
78.73804572938064,72.74042141365007,75.7130959656746,82.61795813082794
75.69763784432371,76.61710035282286,74.09961355033782,71.578939507545
78.12400943918134,76.03833042909623,76.3025966383795,74.36649121471052
75.20215970808066,69.95270544988372,80.28476392832127,81.48544797691954
72.83241143217248,74.92548075685632,74.18622669066573,81.0436665851719
77.22082610994781,76.87556989298471,76.72583413521143,77.21094560617644
70.1220628796936,71.75398828691645,77.32584641059263,83.7904085674022
75.88414249786791,76.79878704947885,76.68558328798298,77.21546831829195
80.35491215916758,70.31380911576211,72.58002106846273,76.83483671032162
73.18744413531711,70.49627494843341,67.61117384596909,72.81047398814432
75.33101879632426,76.15156123459919,76.94103108790266,80.39120696294155
78.10427198569265,75.65323340127473,72.45496554319121,77.81037418919483
79.50050188574114,67.0160983957015,72.98999472578699,75.82027255311874
74.60826011376045,75.4363091199437,71.27273356688154,83.07988621735197
74.86202081103666,77.98373786891989,71.39094811730102,69.62521093578273
70.8534616983476,76.31909148582221,73.48129665506362,79.69303850702981
74.25670381966592,78.0358786140899,75.24705957405133,69.373365580183
70.25536055861448,75.92730052469632,78.034816873799,70.67940599320819
74.84329313984473,77.39401161676604,73.08782278003895,77.14142889619181
75.04967634656742,76.2793114777061,74.10602538240205,67.32533490356568
75.01091095046031,79.30235718461192,75.1745680619819,84.32874585634171
78.42357237582101,75.24205898941506,74.16104071863298,77.90176754527043
78.39302767244716,71.97922435907708,77.19578235810654,67.278643140511
74.06843414007248,69.33931669831489,69.98805165510939,68.75878421839673
75.35281421540395,80.17046240034476,75.70356087769564,76.47338056854335
74.58237442424002,72.13140305801556,81.14222834132107,82.47417505288514
